topic,argument,tokenized_argument,label
all immigrants,"I agree it will be a useful tool, to deport them. First identify all the people who have ignored the immigration laws of the US and then quietly deport them so they can be reunited with their families back in their country of origin.","I agree it will be a useful tool , to deport them . First identify all the people who have ignored the immigration laws of the US and then quietly deport them so they can be reunited with their families back in their country of origin .",0
law school,One of the biggest causes of the decline in the Bar pass rates is the spread of for-profit law schools. Their pass rates are always the lowest in the state and they have the highest default rate on loans. The most obvious first step is for the government to stop insuring any loans to for profit schools.,One of the biggest causes of the decline in the Bar pass rates is the spread of for - profit law schools . Their pass rates are always the lowest in the state and they have the highest default rate on loans . The most obvious first step is for the government to stop insuring any loans to for profit schools .,0
government,"This part, ""The worst part of the travel experience today is the part that's the most heavily regulated; in fact, it's run by the government itself. The security experience is awful.."" seems to forget that private security failed most catastrophically on 9/11. Disgraceful.","This part , "" The worst part of the travel experience today is the part that 's the most heavily regulated ; in fact , it 's run by the government itself . The security experience is awful .. "" seems to forget that private security failed most catastrophically on 9/11 . Disgraceful .",1
airline industry,"This part, ""The worst part of the travel experience today is the part that's the most heavily regulated; in fact, it's run by the government itself. The security experience is awful.."" seems to forget that private security failed most catastrophically on 9/11. Disgraceful.","This part , "" The worst part of the travel experience today is the part that 's the most heavily regulated ; in fact , it 's run by the government itself . The security experience is awful .. "" seems to forget that private security failed most catastrophically on 9/11 . Disgraceful .",1
office layout,"And half right: Noise is a problem. But I don't want all these people around. My university had these big open rooms in the library. No they were NOT conducive to focused activity. I had a weekly routine. Sunday night 9PM you could login to a website and book a private study room. They ware small (about 50% larger than a broom closet) but they had a desk, a power outlet, a network jack and a DOOR. I was hitting refresh on my browser every Sunday starting 8:59 for four years straight. I know it's not socially acceptable. We're all supposed to love being the center of attention at the party but some of us are introverts and open floor plans will NEVER be comfortable and will NEVER be conducive to anything but misery. And no, you're wrong, there is NOTHING wrong with me.","And half right : Noise is a problem . But I do n't want all these people around . My university had these big open rooms in the library . No they were NOT conducive to focused activity . I had a weekly routine . Sunday night 9PM you could login to a website and book a private study room . They ware small ( about 50 % larger than a broom closet ) but they had a desk , a power outlet , a network jack and a DOOR . I was hitting refresh on my browser every Sunday starting 8:59 for four years straight . I know it 's not socially acceptable . We 're all supposed to love being the center of attention at the party but some of us are introverts and open floor plans will NEVER be comfortable and will NEVER be conducive to anything but misery . And no , you 're wrong , there is NOTHING wrong with me .",1
workplace,"Actually Len is both right and wrong. Right in that tipping creates the environment we enjoy when we go out, but wrong in why it does. The people who seek and do well at jobs paid mainly via tips live in that world and it is a world they are competent and appreciated in. To so drastically change that world by eliminating the immediacy of the action and the reward would appeal to a completely different type of person. I know that I could never have been successful in that world. Because I never would have found pleasure in it. But I respect those that do and enjoy both the experience of being served well and the pleasure of tipping graciously.","Actually Len is both right and wrong . Right in that tipping creates the environment we enjoy when we go out , but wrong in why it does . The people who seek and do well at jobs paid mainly via tips live in that world and it is a world they are competent and appreciated in . To so drastically change that world by eliminating the immediacy of the action and the reward would appeal to a completely different type of person . I know that I could never have been successful in that world . Because I never would have found pleasure in it . But I respect those that do and enjoy both the experience of being served well and the pleasure of tipping graciously .",1
mandatory for all children,"""It is a news media-driven misperception that parents who claim philosophical or religious exemptions are uneducated or misinformed. MOST PARENTS WHO INDIVIDUALIZE THE VACCINE SCHEDULE ARE ACTIVELY EDUCATING THEMSELVES, CONTINUALLY ASSESSING THEIR FAMILY'S SPECIFIC HEALTH NEEDS, and doing everything they can to keep their children safe and healthy."" Ms. Margulis offers no data to support her blanket assertion about the industry and motivation of ""most parents,"" a position which, on its face, seems improbable given the breadth and weight of scientific evidence supporting immunization which is not subject to reasonable dispute. Based on anecdotal information, ""most parents"" are refusing to vaccinate their children based on their gross misunderstandings and unwarranted fears of the alleged risks of immunization, or based on their unique interpretations of religious dictates. If you intend to offer relevant commentary, Ms. Margulis, it should be evidence-based. Your personal opinions are no more interesting (or informed) than mine.",""" It is a news media - driven misperception that parents who claim philosophical or religious exemptions are uneducated or misinformed . MOST PARENTS WHO INDIVIDUALIZE THE VACCINE SCHEDULE ARE ACTIVELY EDUCATING THEMSELVES , CONTINUALLY ASSESSING THEIR FAMILY 'S SPECIFIC HEALTH NEEDS , and doing everything they can to keep their children safe and healthy . "" Ms. Margulis offers no data to support her blanket assertion about the industry and motivation of "" most parents , "" a position which , on its face , seems improbable given the breadth and weight of scientific evidence supporting immunization which is not subject to reasonable dispute . Based on anecdotal information , "" most parents "" are refusing to vaccinate their children based on their gross misunderstandings and unwarranted fears of the alleged risks of immunization , or based on their unique interpretations of religious dictates . If you intend to offer relevant commentary , Ms. Margulis , it should be evidence - based . Your personal opinions are no more interesting ( or informed ) than mine .",1
high school teams,"Home schooled young people should be allowed to participate in after-school activities in their home district school, but I fail to see the relevance of the fact that their parents pay local taxes. In most communities a majority of taxpayers have no children in grades 7-12 and thus no participation in after-school activities.","Home schooled young people should be allowed to participate in after - school activities in their home district school , but I fail to see the relevance of the fact that their parents pay local taxes . In most communities a majority of taxpayers have no children in grades 7 - 12 and thus no participation in after - school activities .",1
capital gains,Never let the facts get in the way of a good argument. How have the Bush tax cuts to capital gains benefited the economy? It has been proven time and again that the first Bush's tax increases started a business boom.,Never let the facts get in the way of a good argument . How have the Bush tax cuts to capital gains benefited the economy ? It has been proven time and again that the first Bush 's tax increases started a business boom .,1
college,"the bottom line is just that the bottom line, so long as we encourage the continued raping of this country citizenry then the more recent for profit colleges/financing will continue to hurt all. Ergo the need to return to non profit colleges and universities would fix the real issues here. Of course so long as we have republicans controlling most of this nations governments this will never happen. Whatever happened to the SEC, as a for instance. The lack of morals/ethics and community spirit has undermined all but the 1% or those wannabes. Truly disgusting and what's worse I don;t see how this ever really changes?","the bottom line is just that the bottom line , so long as we encourage the continued raping of this country citizenry then the more recent for profit colleges / financing will continue to hurt all . Ergo the need to return to non profit colleges and universities would fix the real issues here . Of course so long as we have republicans controlling most of this nations governments this will never happen . Whatever happened to the SEC , as a for instance . The lack of morals / ethics and community spirit has undermined all but the 1 % or those wannabes . Truly disgusting and what 's worse I don;t see how this ever really changes ?",1
the u.s.,"It's nice to think that we can just disengage from the Middle East, but ISIS hate us. If we give them an inch, they'll take a mile and then it'll be a breeding ground for terrorists over there just like Afghanistan was. We have to go after radical Islamists when we have the opportunity.","It 's nice to think that we can just disengage from the Middle East , but ISIS hate us . If we give them an inch , they 'll take a mile and then it 'll be a breeding ground for terrorists over there just like Afghanistan was . We have to go after radical Islamists when we have the opportunity .",1
mandatory for all children,"I think Americans are woefully ignorant of the power of Public Health laws here. Everyone should visit a site on Google that will explain the right of officials to remove folks with various infectious diseases from Interstate Transportation, for example. No one has control over their body in certain types of epidemics such as Ebola virus, etc. They can be quarantined against their will. If the rate of vaccination for measles, for example, got much below what our CDC thought was minimal protection for the population at large, one might expect mandatory requirements for vaccination to be stiffened. There is such a thing as a greater good in dire situations.","I think Americans are woefully ignorant of the power of Public Health laws here . Everyone should visit a site on Google that will explain the right of officials to remove folks with various infectious diseases from Interstate Transportation , for example . No one has control over their body in certain types of epidemics such as Ebola virus , etc . They can be quarantined against their will . If the rate of vaccination for measles , for example , got much below what our CDC thought was minimal protection for the population at large , one might expect mandatory requirements for vaccination to be stiffened . There is such a thing as a greater good in dire situations .",1
a smart investment,"I didn't go to preschool. But kindergarten back then was mostly play, milk and cookies. My son did go to preschool because we knew that kindergarten today is more like what first/second grade used to be. In many schools, if you aren't beginning to read by the time you start kindergarten, you will be behind. Comparing Head Start kids to kids who don't attend preschool may not yield a difference. Compare Montessori or private preschool kids to kids who don't attend preschool and you will absolutely see a difference. Big difference.","I did n't go to preschool . But kindergarten back then was mostly play , milk and cookies . My son did go to preschool because we knew that kindergarten today is more like what first / second grade used to be . In many schools , if you are n't beginning to read by the time you start kindergarten , you will be behind . Comparing Head Start kids to kids who do n't attend preschool may not yield a difference . Compare Montessori or private preschool kids to kids who do n't attend preschool and you will absolutely see a difference . Big difference .",1
your cat,"People should not adopt animals whose needs they cannot meet, regardless of what might seem beneficial to the children in the house. If a family for some reason needs a declawed cat, that family should adopt one of the many from a shelter rather than adopting an unaltered cat and declawing him to their convenience and his detriment.","People should not adopt animals whose needs they can not meet , regardless of what might seem beneficial to the children in the house . If a family for some reason needs a declawed cat , that family should adopt one of the many from a shelter rather than adopting an unaltered cat and declawing him to their convenience and his detriment .",0
everyone,"A great article. Many vegans may find themselves poised against it, but, beyond proving the scientific information in the article to be wrong, it will be very difficult to come to another conclusion than the author arrives at. Vegetarianism and veganism are mainly moralistic choices of life style, and should be presented as such. But somewhere along the way vegans decided to also try to make the argument that it's the healthier life choice, which is progressively being proven to be wrong. It's fine to decide to be a vegan. The fact that it's not the healthiest alternative only makes the moral choice more courageous. Nonetheless, I agree with the author that such decisions should not be imposed on children.","A great article . Many vegans may find themselves poised against it , but , beyond proving the scientific information in the article to be wrong , it will be very difficult to come to another conclusion than the author arrives at . Vegetarianism and veganism are mainly moralistic choices of life style , and should be presented as such . But somewhere along the way vegans decided to also try to make the argument that it 's the healthier life choice , which is progressively being proven to be wrong . It 's fine to decide to be a vegan . The fact that it 's not the healthiest alternative only makes the moral choice more courageous . Nonetheless , I agree with the author that such decisions should not be imposed on children .",1
a tax break,"So many have said it so well, I'll just reiterate the key point: Homeschooling is a choice. When one is part of a society, one must participate and contribute for the whole and good of the society. We have long understood that when our children are well educated, the society will benefit. I agree with earlier comments that this is another ultra-conservative gesture to undermine public education and create a culture that rejects facts in favor of religious values, as though one cannot exist with the other.","So many have said it so well , I 'll just reiterate the key point : Homeschooling is a choice . When one is part of a society , one must participate and contribute for the whole and good of the society . We have long understood that when our children are well educated , the society will benefit . I agree with earlier comments that this is another ultra - conservative gesture to undermine public education and create a culture that rejects facts in favor of religious values , as though one can not exist with the other .",0
your cat,"If declawing is banned, we should get set for a serious drop in cat adoptions. Simply, anyone who has any furniture or rugs they do not want to be turned into ragged scratching posts---and that means most everyone-- will just never adopt, let alone purchase, a cat.","If declawing is banned , we should get set for a serious drop in cat adoptions . Simply , anyone who has any furniture or rugs they do not want to be turned into ragged scratching posts --- and that means most everyone-- will just never adopt , let alone purchase , a cat .",1
israel,"Right, lets's support or enemies and desert our friends so that our enemies don't hate us, and maybe, if we show them we are willingt o desert Isreal we will get Hamas and hezbollah and Al Quaida ti think we are fair and reasonable and the world will be safer. Brilliant theory,","Right , lets 's support or enemies and desert our friends so that our enemies do n't hate us , and maybe , if we show them we are willingt o desert Isreal we will get Hamas and hezbollah and Al Quaida ti think we are fair and reasonable and the world will be safer . Brilliant theory ,",1
a gateway drug,"I'll bet most heroin users drank milk as children. Does that make it a gateway drug? This type of nonsense has been around for the last 50 years or more. It's never been right and it never will be despite how many times it's repeated by rich, out of touch, old doctors who contributed to the problem in the first place. They are the problem, not cannabis.","I 'll bet most heroin users drank milk as children . Does that make it a gateway drug ? This type of nonsense has been around for the last 50 years or more . It 's never been right and it never will be despite how many times it 's repeated by rich , out of touch , old doctors who contributed to the problem in the first place . They are the problem , not cannabis .",1
school librarians,"When every document ever written has been digitized and available without charge on the internet, then one may argue that libraries with physical books are not needed. Old, even ancient, literature is just as important for research as recent literature. During my PhD research in chemistry in the 1950s I had to refer to work from the 1850s. My university did not have these in their library because they were so old. The research institute where I ended up working most of my career would not have had this work because the originators thought that only work produced after 1925 was relevant. (Someone convinced them otherwise.) There you have the gamut of poor thinking about libraries.","When every document ever written has been digitized and available without charge on the internet , then one may argue that libraries with physical books are not needed . Old , even ancient , literature is just as important for research as recent literature . During my PhD research in chemistry in the 1950s I had to refer to work from the 1850s . My university did not have these in their library because they were so old . The research institute where I ended up working most of my career would not have had this work because the originators thought that only work produced after 1925 was relevant . ( Someone convinced them otherwise . ) There you have the gamut of poor thinking about libraries .",1
mandatory for all children,"Brandeis University should be embarrassed to have given a post to someone who employs such specious reasoning. The analogy between breastfeeding and vaccination is clearly false. A mother's decision whether to breastfeed affects only her child's health. Parents' decision not to vaccinate their child affects not only that child but other children and adults. In our society, parents can perceive that any risks, however minuscule and unproven, outweigh benefits of vaccination only because other individuals have agreed to vaccinate their children and thereby reduce or eliminate risk of a communicable disease in a population.","Brandeis University should be embarrassed to have given a post to someone who employs such specious reasoning . The analogy between breastfeeding and vaccination is clearly false . A mother 's decision whether to breastfeed affects only her child 's health . Parents ' decision not to vaccinate their child affects not only that child but other children and adults . In our society , parents can perceive that any risks , however minuscule and unproven , outweigh benefits of vaccination only because other individuals have agreed to vaccinate their children and thereby reduce or eliminate risk of a communicable disease in a population .",1
news,"If media outlets would be fair and objective and report the news, there would be no need to to Facebook and see what others are talking about. Facebook is a democratization of the news in the sense that you can find stories and opinions that the corporate media are too afraid or intimidated or just plain arrogantly refusing to cover. Bernie Sanders is just one example NYT. Please wake up and do the right thing before you become irrelevant.","If media outlets would be fair and objective and report the news , there would be no need to to Facebook and see what others are talking about . Facebook is a democratization of the news in the sense that you can find stories and opinions that the corporate media are too afraid or intimidated or just plain arrogantly refusing to cover . Bernie Sanders is just one example NYT . Please wake up and do the right thing before you become irrelevant .",1
government,Anyone who says or even thinks that air travel today is superior in any meaningful way to air travel before regulation has no direct knowledge of regulated air travel. - I do. Air travel today is equivalent to bus travel in the sixties. I remember that as well. There is no such thing as a free market in any industry -- least of all the airline industry.,Anyone who says or even thinks that air travel today is superior in any meaningful way to air travel before regulation has no direct knowledge of regulated air travel . - I do . Air travel today is equivalent to bus travel in the sixties . I remember that as well . There is no such thing as a free market in any industry -- least of all the airline industry .,0
workers,"This much I have learned: Most people are good. Most people want to do a good job if they are allowed. Life is about balance and not everyone's balance is the same. Having said that it is important to have a job that is rewarding and to have rewarding time away from work. If you hire good people and treat them like good people you will need fewer rules. The fewer rules, the more nimble the company. Nimble companies tend to survive and prosper. Large behemoths, merely survive, until entropy takes over.","This much I have learned : Most people are good . Most people want to do a good job if they are allowed . Life is about balance and not everyone 's balance is the same . Having said that it is important to have a job that is rewarding and to have rewarding time away from work . If you hire good people and treat them like good people you will need fewer rules . The fewer rules , the more nimble the company . Nimble companies tend to survive and prosper . Large behemoths , merely survive , until entropy takes over .",1
a tax break,"What I would like to see is the responsibility for raising children to be the PARENT""S job once again. It is not the government's job to raise our children. If that includes schooling at home, then so be it. As our newly elected NY governor reminded us just today, NY State has the highest spending per pupil in the schools, yet is 34th in the rankings for quality of education. The NY State Dept of Education is way overdue for reform. Maybe a tax credit would be the kick in the pants that NY State school administrators need. I would homeschool but I need to work to pay my school taxes which have quadrupled in the past six years. Social skills learned in school? Seems like I spend every waking moment trying to undo the social skills my daughter is ""learning"" during school hours!","What I would like to see is the responsibility for raising children to be the PARENT""S job once again . It is not the government 's job to raise our children . If that includes schooling at home , then so be it . As our newly elected NY governor reminded us just today , NY State has the highest spending per pupil in the schools , yet is 34th in the rankings for quality of education . The NY State Dept of Education is way overdue for reform . Maybe a tax credit would be the kick in the pants that NY State school administrators need . I would homeschool but I need to work to pay my school taxes which have quadrupled in the past six years . Social skills learned in school ? Seems like I spend every waking moment trying to undo the social skills my daughter is "" learning "" during school hours !",0
restaurants,"Those working in restaurants earning $10.10 per hour - without tips - ""would have a secure base wage to feed their families."" Really?? Based on even a 50-hour work week, you're talking a bit over $26,000 per year before taxes are taken out, eventually leaving the employee with around $21,000 per year. In what universe does this serve as ""a secure base wage"" for one person living on his/her own, much less a family of three or four?","Those working in restaurants earning $ 10.10 per hour - without tips - "" would have a secure base wage to feed their families . "" Really ? ? Based on even a 50-hour work week , you 're talking a bit over $ 26,000 per year before taxes are taken out , eventually leaving the employee with around $ 21,000 per year . In what universe does this serve as "" a secure base wage "" for one person living on his / her own , much less a family of three or four ?",0
your cat,"Autism mom here. All of my cats are clawed and, although there may have been a scratch at the very beginning, my two (severely) autistic girls haven't been scratched in years. The idea that an autistic individual can't learn to respect another life is absolutely ridiculous. The girls pet the cats when the cats approach for affection, ask for help if the cats need to be managed (like if the cats are trying to take their food or are sleeping on their beds), and get out of the way if the cats are playing/fighting. Autism is not an excuse to declaw.","Autism mom here . All of my cats are clawed and , although there may have been a scratch at the very beginning , my two ( severely ) autistic girls have n't been scratched in years . The idea that an autistic individual ca n't learn to respect another life is absolutely ridiculous . The girls pet the cats when the cats approach for affection , ask for help if the cats need to be managed ( like if the cats are trying to take their food or are sleeping on their beds ) , and get out of the way if the cats are playing / fighting . Autism is not an excuse to declaw .",1
elections,"The criticism harps on Ginsburg's comments as partisan expressions. They do not address his politics, but his mental incompetence. She poses the matter of listening with some attentiveness to the village idiot, but should he be allowed to run the town? She addresses mental fitness and if there is no capacity for integrity.","The criticism harps on Ginsburg 's comments as partisan expressions . They do not address his politics , but his mental incompetence . She poses the matter of listening with some attentiveness to the village idiot , but should he be allowed to run the town ? She addresses mental fitness and if there is no capacity for integrity .",1
your cat,"No of course it should not be illegal as long as proper technique are used. A cat is a possession, it has no say in the matter. Next someone will insist that we treat animals like people and have government mandated health insurance. Just foolish.","No of course it should not be illegal as long as proper technique are used . A cat is a possession , it has no say in the matter . Next someone will insist that we treat animals like people and have government mandated health insurance . Just foolish .",1
a palestinian state,"As long as any significant portion of the Palestinian people continue to declare war on Israel's existence, there will never be a Palestinian state. First, and foremost, because that same significant percentage of Palestinians would not accept a sovereign state without first seeing the end of Israel. And Britain should be ashamed of accepting a circumvention of civil liberty by accepting any form of sharia law into the British legal system. What moral cowards do is of no consequence to the well being of western freedoms.","As long as any significant portion of the Palestinian people continue to declare war on Israel 's existence , there will never be a Palestinian state . First , and foremost , because that same significant percentage of Palestinians would not accept a sovereign state without first seeing the end of Israel . And Britain should be ashamed of accepting a circumvention of civil liberty by accepting any form of sharia law into the British legal system . What moral cowards do is of no consequence to the well being of western freedoms .",0
the u.s. embassy,"Why shouldn't the US Embassy be moved to Jerusalem especially when it's Israel's capital? As a matter of fact, just about every other country should follow this as well. There are already a number of government offices in Jerusalem not to mention a number of reference books that acknowledge it as Israel's capital. The only reason why none of the embassies were in Jerusalem originally was because it was supposed to be an international zone according to the partition plan by the UN.","Why should n't the US Embassy be moved to Jerusalem especially when it 's Israel 's capital ? As a matter of fact , just about every other country should follow this as well . There are already a number of government offices in Jerusalem not to mention a number of reference books that acknowledge it as Israel 's capital . The only reason why none of the embassies were in Jerusalem originally was because it was supposed to be an international zone according to the partition plan by the UN .",1
jerusalem,"Why shouldn't the US Embassy be moved to Jerusalem especially when it's Israel's capital? As a matter of fact, just about every other country should follow this as well. There are already a number of government offices in Jerusalem not to mention a number of reference books that acknowledge it as Israel's capital. The only reason why none of the embassies were in Jerusalem originally was because it was supposed to be an international zone according to the partition plan by the UN.","Why should n't the US Embassy be moved to Jerusalem especially when it 's Israel 's capital ? As a matter of fact , just about every other country should follow this as well . There are already a number of government offices in Jerusalem not to mention a number of reference books that acknowledge it as Israel 's capital . The only reason why none of the embassies were in Jerusalem originally was because it was supposed to be an international zone according to the partition plan by the UN .",1
a threat,"How dare the NYT and a group of right wing propaganda; the two nations that are the danger to the world are Israel and the U.S. The U.S has built an empire built on fear; in our domestic politics and well as foreign policy, the focus is always on the danger other nations present, but that is just propaganda for the totally ignorant Americans. How many countries have politicians as stupid as Ted Cruz who advocates carpet bombing a population? Only the U.S. and Israel tolerate such barbarians, and then have mass media such as the NYT commissioned articles to denigrate other nations.","How dare the NYT and a group of right wing propaganda ; the two nations that are the danger to the world are Israel and the U.S. The U.S has built an empire built on fear ; in our domestic politics and well as foreign policy , the focus is always on the danger other nations present , but that is just propaganda for the totally ignorant Americans . How many countries have politicians as stupid as Ted Cruz who advocates carpet bombing a population ? Only the U.S. and Israel tolerate such barbarians , and then have mass media such as the NYT commissioned articles to denigrate other nations .",0
a way for people to get into popular restaurants,"I don't comprehend the anger and vitriol. It comes across as a very conservative sense of entitlement. A restaurant is paying for food, drinks, service, ambience, seating, location, and a million other things. Some of these items are separately charged for, such as the food and drinks one orders, while others are recouped by unallocated charges on your bill. Part of that steak or wine you bought is actually going to dishwashing, real estate taxes, and new linens. Why should we get upset that some people are being specially charged for what they receive? It seems as silly to me as being angry that somebody who ordered lobster and whiskey pays more than somebody who got a sandwich and water. Should all diners be charged the same flat fee, regardless of their food consumption? If not, then I don't see why diners should be charged the same flat fee, regardless of their demand for prime reservations.","I do n't comprehend the anger and vitriol . It comes across as a very conservative sense of entitlement . A restaurant is paying for food , drinks , service , ambience , seating , location , and a million other things . Some of these items are separately charged for , such as the food and drinks one orders , while others are recouped by unallocated charges on your bill . Part of that steak or wine you bought is actually going to dishwashing , real estate taxes , and new linens . Why should we get upset that some people are being specially charged for what they receive ? It seems as silly to me as being angry that somebody who ordered lobster and whiskey pays more than somebody who got a sandwich and water . Should all diners be charged the same flat fee , regardless of their food consumption ? If not , then I do n't see why diners should be charged the same flat fee , regardless of their demand for prime reservations .",0
rock hall of fame,Brian Epstein and Linda Rondstadt are getting inductedin 2014. Who's in charge Rip VanWinckle ? Miss Rondstadt could have been inducted in the in the 70's. She was on the cover of Time magazine in 1977 and has been a Superstar ever since. Brian Epstein ?? Oh yeah I think he managed a rock Band.,Brian Epstein and Linda Rondstadt are getting inductedin 2014 . Who 's in charge Rip VanWinckle ? Miss Rondstadt could have been inducted in the in the 70 's . She was on the cover of Time magazine in 1977 and has been a Superstar ever since . Brian Epstein ? ? Oh yeah I think he managed a rock Band .,0
nations,"I'm not a Palestinian or an Israeli, so I don't have a dog in this fight. However, as a basic principle, it is a fundamental right of any nation to have a homeland and it is only that people's decision to declare their independence and establish their own state.","I 'm not a Palestinian or an Israeli , so I do n't have a dog in this fight . However , as a basic principle , it is a fundamental right of any nation to have a homeland and it is only that people 's decision to declare their independence and establish their own state .",1
tfa,"I absolutely agree with this article. The Teach for America program needs to have their teachers in the classroom a whole lot longer than two years in order to make a critical difference. Without longer teaching commitments, teachers in the Teach For America program will not be able to improve their skills and children will continue to suffer the consequences. Would a five year Teach for America commitment change things?...I believe that's a start.","I absolutely agree with this article . The Teach for America program needs to have their teachers in the classroom a whole lot longer than two years in order to make a critical difference . Without longer teaching commitments , teachers in the Teach For America program will not be able to improve their skills and children will continue to suffer the consequences . Would a five year Teach for America commitment change things? ... I believe that 's a start .",1
office layout,Personally I want a private office or work space with a door I can close. That's just me. If I could do without a telephone I think that would be heaven. An employees' cafeteria or lounge would be more than adequate to satisfy my social needs. Perhaps I feel this way because I was an only child and have always been content with my own company. I don't dislike company - I merely want to decide for myself when I want company and when I don't. I find most social situations a waste of my time. Why be bored to death at a party when there is a good book to read in the comfort of one's own home?,Personally I want a private office or work space with a door I can close . That 's just me . If I could do without a telephone I think that would be heaven . An employees ' cafeteria or lounge would be more than adequate to satisfy my social needs . Perhaps I feel this way because I was an only child and have always been content with my own company . I do n't dislike company - I merely want to decide for myself when I want company and when I do n't . I find most social situations a waste of my time . Why be bored to death at a party when there is a good book to read in the comfort of one 's own home ?,1
public preschool,Yes: By all means start universal child care. The children could them become Obama clones indoctrinated much like the North Koreans in socialism and its wonders. Brain washed from birth they will be ideal candidates for the mindless voters he specializes in recruiting.,Yes : By all means start universal child care . The children could them become Obama clones indoctrinated much like the North Koreans in socialism and its wonders . Brain washed from birth they will be ideal candidates for the mindless voters he specializes in recruiting .,0
a smart investment,Yes: By all means start universal child care. The children could them become Obama clones indoctrinated much like the North Koreans in socialism and its wonders. Brain washed from birth they will be ideal candidates for the mindless voters he specializes in recruiting.,Yes : By all means start universal child care . The children could them become Obama clones indoctrinated much like the North Koreans in socialism and its wonders . Brain washed from birth they will be ideal candidates for the mindless voters he specializes in recruiting .,0
our dreams,"I've had nightmares since early childhood, as early as I can remember. Also suffered from some degree of depression most of my life. Ten or fifteen years ago I discovered I could, sometimes, change the course of the dream from terrible to ok; stopping the terror I was feeling in the dream. I have to feel that if one can end or control a nightmare, one should; the constant nightly terrors disturbed my sleep terribly, and I never felt rested in the daytime. When I can change a dream, I rest much better. Oh, and while I was taking a certain antidepressant which I got off this year, all memory of dreams pretty much stopped. When I began to wean off it, the nightmares returned, but went away in a short time. In much of my adult life I have felt helpless to control what happened to me, but I believe that when I learned to control the nighmares' outcomes, I began to feel more control in waking life, too.","I 've had nightmares since early childhood , as early as I can remember . Also suffered from some degree of depression most of my life . Ten or fifteen years ago I discovered I could , sometimes , change the course of the dream from terrible to ok ; stopping the terror I was feeling in the dream . I have to feel that if one can end or control a nightmare , one should ; the constant nightly terrors disturbed my sleep terribly , and I never felt rested in the daytime . When I can change a dream , I rest much better . Oh , and while I was taking a certain antidepressant which I got off this year , all memory of dreams pretty much stopped . When I began to wean off it , the nightmares returned , but went away in a short time . In much of my adult life I have felt helpless to control what happened to me , but I believe that when I learned to control the nighmares ' outcomes , I began to feel more control in waking life , too .",1
mother teresa,"There are no nor will there ever be any saints nor angels on Earth. The greatest humans to live in the 20th Century Mahatma Gandhi, Nelson Mandela and Martin Luther King, Jr, were not Catholic let along saints. Dietrich Bonhoffer was Catholic. So were Isabella and Ferdinand. Alexander Hamilton, John Brown and Abraham Lincoln were not Catholics nor saints.","There are no nor will there ever be any saints nor angels on Earth . The greatest humans to live in the 20th Century Mahatma Gandhi , Nelson Mandela and Martin Luther King , Jr , were not Catholic let along saints . Dietrich Bonhoffer was Catholic . So were Isabella and Ferdinand . Alexander Hamilton , John Brown and Abraham Lincoln were not Catholics nor saints .",0
workplace,"I think Steven A. Shaw may be on to something here. One of the things I have noticed while traveling and living abroad is how much better the service is in countries where there is no tipping (China) or where the tip is automatically added to the check (much of Europe). As counter-intuitive as it seems, I have come to the conclusion that tipping is actually a disincentive to good service but could never develop any notions as to why that might be.","I think Steven A. Shaw may be on to something here . One of the things I have noticed while traveling and living abroad is how much better the service is in countries where there is no tipping ( China ) or where the tip is automatically added to the check ( much of Europe ) . As counter - intuitive as it seems , I have come to the conclusion that tipping is actually a disincentive to good service but could never develop any notions as to why that might be .",1
restaurants,The current arrangement for American diners is that by choosing to eat in a restaurant we agree to subsidize a portion of the restaurants cost for service. Diners do not get to select or supervise the server but we can compensate servers according to how we value the service we receive. This is not a universal system but how it could ever be significantly changed in the US is not immediately obvious.,The current arrangement for American diners is that by choosing to eat in a restaurant we agree to subsidize a portion of the restaurants cost for service . Diners do not get to select or supervise the server but we can compensate servers according to how we value the service we receive . This is not a universal system but how it could ever be significantly changed in the US is not immediately obvious .,1
electric cars,"Agreed! -- the subsidies are egregious, and even on the R&D side the technologies involved are specific to the auto industry rather than general-purpose. If we want quick gains, go for diesel. Even that faces issues in the US: refinery capacity, a tax system that paradoxically leaves gasoline cheaper. Diesel engines are more expensive than gasoline engines, but it wouldn't take much of a subsidy to encourage users to switch -- just look at Europe, where in some countries diesel is the norm and gasoline the exception.","Agreed ! -- the subsidies are egregious , and even on the R&D side the technologies involved are specific to the auto industry rather than general - purpose . If we want quick gains , go for diesel . Even that faces issues in the US : refinery capacity , a tax system that paradoxically leaves gasoline cheaper . Diesel engines are more expensive than gasoline engines , but it would n't take much of a subsidy to encourage users to switch -- just look at Europe , where in some countries diesel is the norm and gasoline the exception .",1
