topic,argument,label,tokenized_argument
women,"These obstetricians condescendingly say they even ""have a midwife teach our residents at NewYork-Presbyterian. "" This is like the racist or homophobe who says ""I have a Black friend / Gay cousin"". These men make their living by insisting that birth requires hospitalization and surgical intervention, so their opinions are not without bias. Anyway, all three of my children - the youngest is 31 and was born at home with a nurse midwife attending- are doing nicely. Thanks for your concern, doctors.",1,"These obstetricians condescendingly say they even "" have a midwife teach our residents at NewYork - Presbyterian . "" This is like the racist or homophobe who says "" I have a Black friend / Gay cousin "" . These men make their living by insisting that birth requires hospitalization and surgical intervention , so their opinions are not without bias . Anyway , all three of my children - the youngest is 31 and was born at home with a nurse midwife attending- are doing nicely . Thanks for your concern , doctors ."
speech,"Looking at the violence carried out in response to the mere concept of ""International Burn a Koran Day"" and before that with ""Everybody Draw Muhammad Day"" and before that with the publication of a few caricatures of the Prophet Muhammad in a Danish news paper: One could make the argument that the followers of the so-called ""Religion of Peace"" are so inherently violent as to make any speech which is deemed an insult to Islam tantamount to yelling ""fire"" in a crowded theater. If we allow ourselves to do this, then what we have essentially said is that constitution is incompatible with world wide Islam.",1,"Looking at the violence carried out in response to the mere concept of "" International Burn a Koran Day "" and before that with "" Everybody Draw Muhammad Day "" and before that with the publication of a few caricatures of the Prophet Muhammad in a Danish news paper : One could make the argument that the followers of the so - called "" Religion of Peace "" are so inherently violent as to make any speech which is deemed an insult to Islam tantamount to yelling "" fire "" in a crowded theater . If we allow ourselves to do this , then what we have essentially said is that constitution is incompatible with world wide Islam ."
high school teams,"It seems to me home schoolers willfully separate themselves from the community to a certain degree. If they wanted to benefit from the community, such as participating in public school student activities, then maybe they shouldn't be trying to remain separate from it.",1,"It seems to me home schoolers willfully separate themselves from the community to a certain degree . If they wanted to benefit from the community , such as participating in public school student activities , then maybe they should n't be trying to remain separate from it ."
home-schoolers,"It seems to me home schoolers willfully separate themselves from the community to a certain degree. If they wanted to benefit from the community, such as participating in public school student activities, then maybe they shouldn't be trying to remain separate from it.",0,"It seems to me home schoolers willfully separate themselves from the community to a certain degree . If they wanted to benefit from the community , such as participating in public school student activities , then maybe they should n't be trying to remain separate from it ."
syria,"""...as was President Bill Clinton's cruise-missile barrage against Osama bin Laden after the embassy bombings in Africa in 1998."" Yep, that showed him. We didn't hear from bin Laden again for what, three years? And, even assuming that we indulge this fantasy of yet another war -- what? More nation building? Like those shing bastions of democracy: Iraq, Afghanistan, Libya? We've been soooooo good at that in the middle east. More doing the same thing over and over, and expecting different results. I have no idea what the solution in the middle east is, and frankly, even with all of your expertise Mr. Gerecht, neither do you. But the first step towards sanity is recognizing that we have to have new solutions because the old ones haven't worked.",0,""" ... as was President Bill Clinton 's cruise - missile barrage against Osama bin Laden after the embassy bombings in Africa in 1998 . "" Yep , that showed him . We did n't hear from bin Laden again for what , three years ? And , even assuming that we indulge this fantasy of yet another war -- what ? More nation building ? Like those shing bastions of democracy : Iraq , Afghanistan , Libya ? We 've been soooooo good at that in the middle east . More doing the same thing over and over , and expecting different results . I have no idea what the solution in the middle east is , and frankly , even with all of your expertise Mr. Gerecht , neither do you . But the first step towards sanity is recognizing that we have to have new solutions because the old ones have n't worked ."
us,"""...as was President Bill Clinton's cruise-missile barrage against Osama bin Laden after the embassy bombings in Africa in 1998."" Yep, that showed him. We didn't hear from bin Laden again for what, three years? And, even assuming that we indulge this fantasy of yet another war -- what? More nation building? Like those shing bastions of democracy: Iraq, Afghanistan, Libya? We've been soooooo good at that in the middle east. More doing the same thing over and over, and expecting different results. I have no idea what the solution in the middle east is, and frankly, even with all of your expertise Mr. Gerecht, neither do you. But the first step towards sanity is recognizing that we have to have new solutions because the old ones haven't worked.",0,""" ... as was President Bill Clinton 's cruise - missile barrage against Osama bin Laden after the embassy bombings in Africa in 1998 . "" Yep , that showed him . We did n't hear from bin Laden again for what , three years ? And , even assuming that we indulge this fantasy of yet another war -- what ? More nation building ? Like those shing bastions of democracy : Iraq , Afghanistan , Libya ? We 've been soooooo good at that in the middle east . More doing the same thing over and over , and expecting different results . I have no idea what the solution in the middle east is , and frankly , even with all of your expertise Mr. Gerecht , neither do you . But the first step towards sanity is recognizing that we have to have new solutions because the old ones have n't worked ."
workplace,Tips are a not-so-hidden cost of dining out. They are a slap to the customer after the bill has been presented. They are an insult to both the customer and to the server. Frankly I do not like the feeling that I am obliged to supplement the wages paid to the server so that he or she can have a decent living. That cost should be part of the cost of the meal. Wait staff are properly the employees of the restauranteur - and his responsibility.,1,Tips are a not - so - hidden cost of dining out . They are a slap to the customer after the bill has been presented . They are an insult to both the customer and to the server . Frankly I do not like the feeling that I am obliged to supplement the wages paid to the server so that he or she can have a decent living . That cost should be part of the cost of the meal . Wait staff are properly the employees of the restauranteur - and his responsibility .
the status of teachers,"Some asked what are the statistics on TFA attrition. The NYTimes article 7/12/10 offers some: 0.2 percent of teachers nationwide are TFA teachers. One study notes 85 percent of TFA teachers have left NYC schools by the fourth year. Carrie James, TFA spokeswoman, while questioning those results, herself notes few remain beyond five or six years. ""A Chosen Few Are Teaching For America"" by Michael Winerip If it is long term experience that creates a cadre of good teachers, then TFA is not doing that.",0,"Some asked what are the statistics on TFA attrition . The NYTimes article 7/12/10 offers some : 0.2 percent of teachers nationwide are TFA teachers . One study notes 85 percent of TFA teachers have left NYC schools by the fourth year . Carrie James , TFA spokeswoman , while questioning those results , herself notes few remain beyond five or six years . "" A Chosen Few Are Teaching For America "" by Michael Winerip If it is long term experience that creates a cadre of good teachers , then TFA is not doing that ."
a problem,"One third of births in California are to illegal immigrants, the medical bills paid by the taxpayers, at a cost of billions of dollars a year, after which the family qualifies for welfare, food stamps, Medicaid, and subsidized housing for the next 18 years. Not exactly a formula for attracting the best and brightest.",0,"One third of births in California are to illegal immigrants , the medical bills paid by the taxpayers , at a cost of billions of dollars a year , after which the family qualifies for welfare , food stamps , Medicaid , and subsidized housing for the next 18 years . Not exactly a formula for attracting the best and brightest ."
` starchitects,"Mainstream architecture in general is the problem, along with its ugly alliance with real estate capital. Real estate just wants cheap and big. Architects provide it in self-interested happiness, deluding themselves that the only way to build is with curtain walls, skins, ribbons, pilotis, anti-contextual nihilism, and other bits of the painfully idiotic dogma of the modernist movement (which alas is not dead although it ought to be). Even nuttier is that the architecture profession is obsessed with an out-dated Hegelian notion of trying to produce ""an architecture of our time"", a goal that if examined is utter nonsense and hubristic posturing. Meanwhile our load bearing masonry city barely survives the attacks this alliance has produced. We ordinary people whol live here bear the loss.",0,"Mainstream architecture in general is the problem , along with its ugly alliance with real estate capital . Real estate just wants cheap and big . Architects provide it in self - interested happiness , deluding themselves that the only way to build is with curtain walls , skins , ribbons , pilotis , anti - contextual nihilism , and other bits of the painfully idiotic dogma of the modernist movement ( which alas is not dead although it ought to be ) . Even nuttier is that the architecture profession is obsessed with an out - dated Hegelian notion of trying to produce "" an architecture of our time "" , a goal that if examined is utter nonsense and hubristic posturing . Meanwhile our load bearing masonry city barely survives the attacks this alliance has produced . We ordinary people whol live here bear the loss ."
a gateway drug,"The vast majority of heroin users have first used coffee, tobacco and alcohol so I guess these are gateway drugs too. Or maybe sugar is the first gateway drug? Too much nonsense is written about marijuana leading to addiction of the harder and more dangerous drugs like alcohol.",0,"The vast majority of heroin users have first used coffee , tobacco and alcohol so I guess these are gateway drugs too . Or maybe sugar is the first gateway drug ? Too much nonsense is written about marijuana leading to addiction of the harder and more dangerous drugs like alcohol ."
nonprofit status,"I have long said that professional sports should not benefit from extra benefits in terms of tax relief of any kind. This includes cities providing any tax break or incentives to build their arenas. We, the taxpayers of San Antonio, built a domed stadium for an NFL team. We now have the white elephant downtown and we still wait for the NFL that will never come. Not that I would pay money to see them.",0,"I have long said that professional sports should not benefit from extra benefits in terms of tax relief of any kind . This includes cities providing any tax break or incentives to build their arenas . We , the taxpayers of San Antonio , built a domed stadium for an NFL team . We now have the white elephant downtown and we still wait for the NFL that will never come . Not that I would pay money to see them ."
new employees,"I know of no small business whose life blood consisted of one or two products developed at high cost wherein those products were not protected by patents or copyrights. Ninety-nine percent of the small business non-competes I have seen try to prevent good salesmen from calling on their customers from the their former employer. The other one percent involved senior executives, were very explicit about the competitive competing firms, and were of sort duration. In most of these cases the employment contract of the hiring company called for the hiring company to defend the executive against legal action by his former employer under the non-compete. So, to come full circle, small business non-competes are almost always aimed at keeping good salesmen in chains.",1,"I know of no small business whose life blood consisted of one or two products developed at high cost wherein those products were not protected by patents or copyrights . Ninety - nine percent of the small business non - competes I have seen try to prevent good salesmen from calling on their customers from the their former employer . The other one percent involved senior executives , were very explicit about the competitive competing firms , and were of sort duration . In most of these cases the employment contract of the hiring company called for the hiring company to defend the executive against legal action by his former employer under the non - compete . So , to come full circle , small business non - competes are almost always aimed at keeping good salesmen in chains ."
modern men,"This article is silly, online dating sites are full of 'manly men'- carpenters, construction workers, laborers, and others. These men are not exactly faring well in this economy, and at no other time does there seem to be more a disconnect between women and these guys than now, it seems.",0,"This article is silly , online dating sites are full of ' manly men'- carpenters , construction workers , laborers , and others . These men are not exactly faring well in this economy , and at no other time does there seem to be more a disconnect between women and these guys than now , it seems ."
illegal labor,"One of the main premises that Americans are used to inexpensive fruits and vegetables? Where are fruits and vegetables inexpensive? Most American families here in the West cannot afford to purchase very many $.85 oranges, apples. Beans and zucchini $1.29 lb. Broccoli and cauliflower $.89 lb., tomatoes $1.29 - 2.29, corn $.50-.75 an ear. Fruits and vegetables take a big chunk out of your food budget. I would not want to be raising a couple kids these days and trying to feed them healthy foods.",0,"One of the main premises that Americans are used to inexpensive fruits and vegetables ? Where are fruits and vegetables inexpensive ? Most American families here in the West can not afford to purchase very many $ .85 oranges , apples . Beans and zucchini $ 1.29 lb . Broccoli and cauliflower $ .89 lb . , tomatoes $ 1.29 - 2.29 , corn $ .50-.75 an ear . Fruits and vegetables take a big chunk out of your food budget . I would not want to be raising a couple kids these days and trying to feed them healthy foods ."
farms,"One of the main premises that Americans are used to inexpensive fruits and vegetables? Where are fruits and vegetables inexpensive? Most American families here in the West cannot afford to purchase very many $.85 oranges, apples. Beans and zucchini $1.29 lb. Broccoli and cauliflower $.89 lb., tomatoes $1.29 - 2.29, corn $.50-.75 an ear. Fruits and vegetables take a big chunk out of your food budget. I would not want to be raising a couple kids these days and trying to feed them healthy foods.",0,"One of the main premises that Americans are used to inexpensive fruits and vegetables ? Where are fruits and vegetables inexpensive ? Most American families here in the West can not afford to purchase very many $ .85 oranges , apples . Beans and zucchini $ 1.29 lb . Broccoli and cauliflower $ .89 lb . , tomatoes $ 1.29 - 2.29 , corn $ .50-.75 an ear . Fruits and vegetables take a big chunk out of your food budget . I would not want to be raising a couple kids these days and trying to feed them healthy foods ."
kids at home,"Another male obstetrician with scare tactics designed to intimidate women from having their baby at home. Women with high-risk pregnancies know they need to deliver in a hospital and may need surgical intervention. Many women do not. Saying ""We can do a better job of bringing the comforts of home into a controlled birth setting"" shows he just doesn't get it. It's not about painting the walls of the delivery room a pretty color or having rocking chairs in the room. It's about informed and healthy women in control of their birth choices. Let us be clear, this guy's lifestyle is based on insisting that women deliver in hospital attended by a surgeon. So his opinion is not unbiased.",1,"Another male obstetrician with scare tactics designed to intimidate women from having their baby at home . Women with high - risk pregnancies know they need to deliver in a hospital and may need surgical intervention . Many women do not . Saying "" We can do a better job of bringing the comforts of home into a controlled birth setting "" shows he just does n't get it . It 's not about painting the walls of the delivery room a pretty color or having rocking chairs in the room . It 's about informed and healthy women in control of their birth choices . Let us be clear , this guy 's lifestyle is based on insisting that women deliver in hospital attended by a surgeon . So his opinion is not unbiased ."
a tax break,"Of all the people I have met that were home schooled I feel they fall into one of two categories: the bible college bound, and those lacking all social skills whatsoever. Thank you republicans for creating another group of Americans that will in no way be able to take my job when I'm 50 and they are 30.",0,"Of all the people I have met that were home schooled I feel they fall into one of two categories : the bible college bound , and those lacking all social skills whatsoever . Thank you republicans for creating another group of Americans that will in no way be able to take my job when I 'm 50 and they are 30 ."
mideast peace,"the electronic intefada and mr.Ali want to continue Hitler's plan of extermination of the Jewish people. Hamas has demonstrated by it's action that it can not be trusted. Israel grants equal rights to all it's citzins. the Palestinians are not Israelis they have no claim to Israeli land. Israel is a modern society, they had a female leader before the U.K. The Palestinians on the other hand follow racist and sexist poilcies.",1,"the electronic intefada and mr . Ali want to continue Hitler 's plan of extermination of the Jewish people . Hamas has demonstrated by it 's action that it can not be trusted . Israel grants equal rights to all it 's citzins . the Palestinians are not Israelis they have no claim to Israeli land . Israel is a modern society , they had a female leader before the U.K. The Palestinians on the other hand follow racist and sexist poilcies ."
elections,"Justices are asked questions all the time about cases that may come before the Supreme Court. That is where they have to refrain from issuing opinions prior to testimony. Unless someone is planning to take the Republican Party to Court to prevent them from naming Trump as their candidate for president, there is no reason why Justice Ginsburg should not be able to give her opinion. She can always recuse herself should the case actually materialize, but, I doubt very much that 4 members of the court would ever vote to hear whether or not the Emperor really has New Clothes.",1,"Justices are asked questions all the time about cases that may come before the Supreme Court . That is where they have to refrain from issuing opinions prior to testimony . Unless someone is planning to take the Republican Party to Court to prevent them from naming Trump as their candidate for president , there is no reason why Justice Ginsburg should not be able to give her opinion . She can always recuse herself should the case actually materialize , but , I doubt very much that 4 members of the court would ever vote to hear whether or not the Emperor really has New Clothes ."
casinos,"i go to Aqueduct Casino often, as well as Yonkers, and i see pensioneers, and to my eye apparently people with little disposable income. the surrounding areas of these facilities don't seem to have prospered, similar to AC's situation. there's 2 casinos in local area and i think that's enough to lure those who want to gamble.",0,"i go to Aqueduct Casino often , as well as Yonkers , and i see pensioneers , and to my eye apparently people with little disposable income . the surrounding areas of these facilities do n't seem to have prospered , similar to AC 's situation . there 's 2 casinos in local area and i think that 's enough to lure those who want to gamble ."
capital gains,"First, let's define capital gains. There are investments and there is gambling. 10-millisecond holding time is not investment and does not create jobs except for some overpaid Wall Street types. How about eliminating taxes on investments held for at least five years?",0,"First , let 's define capital gains . There are investments and there is gambling . 10-millisecond holding time is not investment and does not create jobs except for some overpaid Wall Street types . How about eliminating taxes on investments held for at least five years ?"
more harm,"May I ask. What the U.S. response will be the day a terrorist utilizes a small drone to deliver a toxin from just south of the border over to a city like El Paso Texas. The terrorist could stand in Mexico a fly a small drone with anthrax or similar agent causing great death. Yes, if I've thought of it, don't think they haven't or won't. When drones go both ways, trouble.",0,"May I ask . What the U.S. response will be the day a terrorist utilizes a small drone to deliver a toxin from just south of the border over to a city like El Paso Texas . The terrorist could stand in Mexico a fly a small drone with anthrax or similar agent causing great death . Yes , if I 've thought of it , do n't think they have n't or wo n't . When drones go both ways , trouble ."
restaurants,"Bottom line, anyone arguing against tipping is just trying to rationalizes their cheapness. The deep thinker that said tipping is anticapitalistic obviously did not think this through. What is more entrepeneurial then have to suceed or fail solely on your hard work, charm and guile.",1,"Bottom line , anyone arguing against tipping is just trying to rationalizes their cheapness . The deep thinker that said tipping is anticapitalistic obviously did not think this through . What is more entrepeneurial then have to suceed or fail solely on your hard work , charm and guile ."
workplace,"Bottom line, anyone arguing against tipping is just trying to rationalizes their cheapness. The deep thinker that said tipping is anticapitalistic obviously did not think this through. What is more entrepeneurial then have to suceed or fail solely on your hard work, charm and guile.",1,"Bottom line , anyone arguing against tipping is just trying to rationalizes their cheapness . The deep thinker that said tipping is anticapitalistic obviously did not think this through . What is more entrepeneurial then have to suceed or fail solely on your hard work , charm and guile ."
the atlantic coast,"I expect Randall gets paid plenty to say these things. I'd put it more bluntly. It is win-win for the oil companies. They privatize the profits and if something bad happens, at worst they pay a token amount -- the real cost will be borne by taxpayers and by irreversible damage to the environment. Damn it feels good to be an oil man! (apologies to the Geto Boys)",1,"I expect Randall gets paid plenty to say these things . I 'd put it more bluntly . It is win - win for the oil companies . They privatize the profits and if something bad happens , at worst they pay a token amount -- the real cost will be borne by taxpayers and by irreversible damage to the environment . Damn it feels good to be an oil man ! ( apologies to the Geto Boys )"
office layout,"I have yet to meet more than a few people that enjoy working in open space arrangements. Incubators or work-spaces have open spaces because it is significantly cheaper than having private work areas, and typically charge a lot more for use of the private spaces. This idea of sharing ideas and information is mostly a myth. In a small group of people that know each other and have built trust it is invaluable. But in a large group it can become distracting and unproductive. Having worked in a few offices with open spaces, I found that employees chose privacy over open 9 times out of ten. Mr. Saval is 100% correct, workers understand their needs much better than executives. It would be a good idea to ask the employees before imposing an open space concept. There's nothing knew about the idea of having an open space work arrangement. I think they used to call it a secretarial pool back in the day.",1,"I have yet to meet more than a few people that enjoy working in open space arrangements . Incubators or work - spaces have open spaces because it is significantly cheaper than having private work areas , and typically charge a lot more for use of the private spaces . This idea of sharing ideas and information is mostly a myth . In a small group of people that know each other and have built trust it is invaluable . But in a large group it can become distracting and unproductive . Having worked in a few offices with open spaces , I found that employees chose privacy over open 9 times out of ten . Mr. Saval is 100 % correct , workers understand their needs much better than executives . It would be a good idea to ask the employees before imposing an open space concept . There 's nothing knew about the idea of having an open space work arrangement . I think they used to call it a secretarial pool back in the day ."
a tax break,"EVERYONE uses public education. Do home-schoolers only patronize home-schooled plumbers, or nurses, or telephone repairpersons? Public education makes possible what we all live with in this Res Publica. Private education is a step back to the 17th century. Mexico is a good example of where the no-tax, limited government crowd wants to go. Having lived in Mexico for four years, where public education is severely underfunded and anyone who expects to get ahead is determined to use private education, I can attest to the benefits of a good putlic education system.",0,"EVERYONE uses public education . Do home - schoolers only patronize home - schooled plumbers , or nurses , or telephone repairpersons ? Public education makes possible what we all live with in this Res Publica . Private education is a step back to the 17th century . Mexico is a good example of where the no - tax , limited government crowd wants to go . Having lived in Mexico for four years , where public education is severely underfunded and anyone who expects to get ahead is determined to use private education , I can attest to the benefits of a good putlic education system ."
public workers,"I think this is absolutely wrong that he was fired. What he burned was nothing more than a 'symbol"", albeit a very important one to some people. Should people be fired for burning a country's flag? What about an image of Obama? Or an image of the Flying Spaghetti Monster? Should people be fired for writing an Editorial that says bad things about the pope? This is SOO wrong and is indeed a slipperty slope. But nothing more than political correctness run amok, and more than anything, a sign of how much we FEAR those Muslims who are extremists. Clearly the firing of this guy was nothing more than a P.R. ploy to send a MESSAGE to the radicals: ""please don't align our company or organization with this particular individual. Do whatever you want to this individual but please leave our offices and the rest of our employees alone.""",1,"I think this is absolutely wrong that he was fired . What he burned was nothing more than a ' symbol "" , albeit a very important one to some people . Should people be fired for burning a country 's flag ? What about an image of Obama ? Or an image of the Flying Spaghetti Monster ? Should people be fired for writing an Editorial that says bad things about the pope ? This is SOO wrong and is indeed a slipperty slope . But nothing more than political correctness run amok , and more than anything , a sign of how much we FEAR those Muslims who are extremists . Clearly the firing of this guy was nothing more than a P.R. ploy to send a MESSAGE to the radicals : "" please do n't align our company or organization with this particular individual . Do whatever you want to this individual but please leave our offices and the rest of our employees alone . """
attacts,"The difference between us and them is that we don't target civilians as a matter of policy. That said, I wish we could draft the children and grandchildren of those who demand we conduct war by sending troops instead of drones.",0,"The difference between us and them is that we do n't target civilians as a matter of policy . That said , I wish we could draft the children and grandchildren of those who demand we conduct war by sending troops instead of drones ."
companies,"Regulation is to a corporation what a conscience is to a living person. Without a conscience, we would all be sociopaths. Corporations do not have a conscience, thus they need regulation to make sure they are focused on benefiting society instead on merely benefiting themselves.",1,"Regulation is to a corporation what a conscience is to a living person . Without a conscience , we would all be sociopaths . Corporations do not have a conscience , thus they need regulation to make sure they are focused on benefiting society instead on merely benefiting themselves ."
public workers,"What part about the First Amendment does the Transit Authority not get? The government may not interfere with freedom of expression. No need to talk about hate speech or other governments or cultures here - we have a culture that offends others because we do not allow any one group to be beyond criticism or protest. An ideal that we do not always live up to, but one which we never cease to strive towards. Free speech is either free or not.",0,"What part about the First Amendment does the Transit Authority not get ? The government may not interfere with freedom of expression . No need to talk about hate speech or other governments or cultures here - we have a culture that offends others because we do not allow any one group to be beyond criticism or protest . An ideal that we do not always live up to , but one which we never cease to strive towards . Free speech is either free or not ."
apps,"Thanks for this article. I have had the wonderful fortune to have spent a good part of my professional life interacting with deaf-blind children and adults. All that I have learned from interacting with them supports Matthew Hertenstein's thoughts here. Touch conveys SO much. People without vision and hearing are experts in reading subtleties of touch in others. I have had to learn (and am still learning) to speak their language, and in the process have come to understand and appreciate deeply what Matthew Hertenstein means when he says that, ""Some people need other humans more than they think."" Perhaps not only some people, but all people. Touching a screen is nothing like touching another human being.",0,"Thanks for this article . I have had the wonderful fortune to have spent a good part of my professional life interacting with deaf - blind children and adults . All that I have learned from interacting with them supports Matthew Hertenstein 's thoughts here . Touch conveys SO much . People without vision and hearing are experts in reading subtleties of touch in others . I have had to learn ( and am still learning ) to speak their language , and in the process have come to understand and appreciate deeply what Matthew Hertenstein means when he says that , "" Some people need other humans more than they think . "" Perhaps not only some people , but all people . Touching a screen is nothing like touching another human being ."
the threat,"I'm not going to defend illegal immigration, it is not correct from any point of view, it should be in the right way, complying with all the law requirements. What I see is that it is supported by the demand created for the employers that at the end are the big winners of everything. The fact that the immigrants are not paying taxes or surviving with their lower wages, are not making them millionaires, and also, the 11 million figure doesn't mean that there are 11 million in the workforce, the numbers are way lower. Anyway, this illegal affluent should stop, therefore the law enforcement should be more focus in the punishment for the employers, thus, the problem will be cut from the root. In regards to the legalization of the 11 million, we all American should not be afraid, they are not gonna take any more jobs, they just gonna continue doing their jobs and being taxed. Nobody is going to give them help or any other thing already granted by the tax payers, therefore, they not going to flood unemployment, food stamps, healthcare, financial aid, etc.",1,"I 'm not going to defend illegal immigration , it is not correct from any point of view , it should be in the right way , complying with all the law requirements . What I see is that it is supported by the demand created for the employers that at the end are the big winners of everything . The fact that the immigrants are not paying taxes or surviving with their lower wages , are not making them millionaires , and also , the 11 million figure does n't mean that there are 11 million in the workforce , the numbers are way lower . Anyway , this illegal affluent should stop , therefore the law enforcement should be more focus in the punishment for the employers , thus , the problem will be cut from the root . In regards to the legalization of the 11 million , we all American should not be afraid , they are not gon na take any more jobs , they just gon na continue doing their jobs and being taxed . Nobody is going to give them help or any other thing already granted by the tax payers , therefore , they not going to flood unemployment , food stamps , healthcare , financial aid , etc ."
` starchitects,"We are living in an era of individuals where ego trumps everything. Today we glorify money and fame, and we allow individuals to glorify themselves and their clients, not the average pedestrian who must increasingly suffer unfriendly streets with wall-like façades protecting the elites inside, or forbidding store fronts keeping the riff raff out of luxury stores and creating bleak streets once business is over. I'm a liberal and not elitist and I am a fan of modernism and some of the modern facades. I'm not sure what the solution is, but I bet, in one hundred years or so, we will rue the day we destroyed livability and proportion and replace these monstrosities with user friendly edifices similar to the ones which were destroyed to make way for the monstrosities.",0,"We are living in an era of individuals where ego trumps everything . Today we glorify money and fame , and we allow individuals to glorify themselves and their clients , not the average pedestrian who must increasingly suffer unfriendly streets with wall - like façades protecting the elites inside , or forbidding store fronts keeping the riff raff out of luxury stores and creating bleak streets once business is over . I 'm a liberal and not elitist and I am a fan of modernism and some of the modern facades . I 'm not sure what the solution is , but I bet , in one hundred years or so , we will rue the day we destroyed livability and proportion and replace these monstrosities with user friendly edifices similar to the ones which were destroyed to make way for the monstrosities ."
national security,"I don't think we are covering any new ground here, the Republican's plan to balance the budget is likely to consist of a lot of flag waving, wrapping themselves in the Constitution and perhaps a new Pledge and little else. It could be worse, they may want to do something really dumb like cut taxes even more or try to start another war. First of all they don't have the votes and under 8 years of Bush the problems just got worse.",1,"I do n't think we are covering any new ground here , the Republican 's plan to balance the budget is likely to consist of a lot of flag waving , wrapping themselves in the Constitution and perhaps a new Pledge and little else . It could be worse , they may want to do something really dumb like cut taxes even more or try to start another war . First of all they do n't have the votes and under 8 years of Bush the problems just got worse ."
mideast peace,"Israelis would become the minority in a single state, subject to whatever retributions desired by the majority Palestinians. Palestinians would remain second class citizens by virtue of the Israelis having developed both a wealthy economy and having developed and controlled both the modern infrastructure, businesses, and public institutions. The Palestinians would have to be given much of what is in Israeli hands and help them to learn how to manage it and money to support the transition from taxes upon the more well to do (Israelis) to achieve equality in a single state. That's a lot of potential pain and loss for Israelis in a single state.",0,"Israelis would become the minority in a single state , subject to whatever retributions desired by the majority Palestinians . Palestinians would remain second class citizens by virtue of the Israelis having developed both a wealthy economy and having developed and controlled both the modern infrastructure , businesses , and public institutions . The Palestinians would have to be given much of what is in Israeli hands and help them to learn how to manage it and money to support the transition from taxes upon the more well to do ( Israelis ) to achieve equality in a single state . That 's a lot of potential pain and loss for Israelis in a single state ."
a useful excercise for college students,"""It is unworthy of excellent men to lose hours like slaves in the labour of calculation which could safely be relegated to anyone else if machines were used."" Gottfried Liebniz I looked that up on the internet. It took about 15 seconds. Would it be more beneficial had I gone to the reference section of my library? It is worthy to spend one's time sorting, organizing, analyzing and synthesizing information, unworthy to just put in time.",1,""" It is unworthy of excellent men to lose hours like slaves in the labour of calculation which could safely be relegated to anyone else if machines were used . "" Gottfried Liebniz I looked that up on the internet . It took about 15 seconds . Would it be more beneficial had I gone to the reference section of my library ? It is worthy to spend one 's time sorting , organizing , analyzing and synthesizing information , unworthy to just put in time ."
capital gains,"Almost every other large nation that I looked up has a capital gains tax of 20% or more, and many other countries levy additional taxes for their social safety nets. The IRS still taxes US taxpayers on foreign investments, but allows credit for any taxes paid to a foreign government. In other words, unless they imitated the Facebook guy who renounced his US Citizenship, investors have been paying taxes on foreign investments all along. Given that most corporations are multi-national businesses, very few investors are putting money into purely foreign companies. As far as the impact on development and the job market, demand and growth opportunities have much more to do with where investment money goes than nominal differences in capital gains taxes. Slashing capital gains taxes just doesn't magically create jobs. We've had 30 years to figure this one out.",0,"Almost every other large nation that I looked up has a capital gains tax of 20 % or more , and many other countries levy additional taxes for their social safety nets . The IRS still taxes US taxpayers on foreign investments , but allows credit for any taxes paid to a foreign government . In other words , unless they imitated the Facebook guy who renounced his US Citizenship , investors have been paying taxes on foreign investments all along . Given that most corporations are multi - national businesses , very few investors are putting money into purely foreign companies . As far as the impact on development and the job market , demand and growth opportunities have much more to do with where investment money goes than nominal differences in capital gains taxes . Slashing capital gains taxes just does n't magically create jobs . We 've had 30 years to figure this one out ."
government,"So the only other option than the status quo is 1979? I don't buy it. I was on an airline yesterday, there was no room for my 6'3"" frame and my client won't cover 1st class. There needs to be minimum seating standards, and there needs to be a trigger to require the airlines to waive baggage fees if TSA lines are longer than 45 minutes. The airlines were quick with their hands out after 9/11, they won't lift a hand now that they are fat and happy. Some regulation sounds good to me. It doesn't mean Communism, it means common sense.",0,"So the only other option than the status quo is 1979 ? I do n't buy it . I was on an airline yesterday , there was no room for my 6'3 "" frame and my client wo n't cover 1st class . There needs to be minimum seating standards , and there needs to be a trigger to require the airlines to waive baggage fees if TSA lines are longer than 45 minutes . The airlines were quick with their hands out after 9/11 , they wo n't lift a hand now that they are fat and happy . Some regulation sounds good to me . It does n't mean Communism , it means common sense ."
adults,"The key question here is not ""are polygamists deviant?"" The key question is whether ""child abuse and exploitation of women are not inherent in polygamy,"" as the author states. Professor Banks, can you site a single existing or historical example of a society that allowed polygamy but wasn't patriarchal or didn't exploit women? You can't, because there aren't any such examples. Every shred of evidence, present and past, shows that child abuse and exploitation of women ARE inherent in polygamy.",1,"The key question here is not "" are polygamists deviant ? "" The key question is whether "" child abuse and exploitation of women are not inherent in polygamy , "" as the author states . Professor Banks , can you site a single existing or historical example of a society that allowed polygamy but was n't patriarchal or did n't exploit women ? You ca n't , because there are n't any such examples . Every shred of evidence , present and past , shows that child abuse and exploitation of women ARE inherent in polygamy ."
